source_mizo,reference_english,baseline_prediction
Sleepy Hollow an tih khuar chu New York State tlang sang tak te kar ah khawvel lak aá¹­angin a biru.,The valley known as Sleepy Hollow hides from the world in the high hills of New York State.,The place called Sleepy Hollow is hidden from the world around a thousand hills of New York State.
Boston thleng turin darkar thum aia tlem kan tlan.,It took us less than three hours to get to Boston.,We ran for less than three hours to get to Boston.
Khuma-an inthen a ngaihtuah tih reng reng ka hre lo.,I certainly had no idea Khuma was thinking about getting divorced.,I didn't know Khuma was thinking about getting divorced.
Faka hi Mary-i aiin a naupang nge a upa zawk ka hre lo.,I don't know whether Faka is younger or older than Mary is.,I don't know whether Faka is younger or older than Mary.
Biaka chuan keimah aiin French a hmang nal zawk.,Biaka speaks French better than me.,Biaka speaks French better than I do.
"""ChÃ»ngte chu hre chungin Genesis ziaktu hian thu a ziak a; chuvÃ¢ngin, a thuchah hi zÃ¢wm ila, khawvÃªl hian kan á¹­hatpui ngei ang.""","""The writer of Genesis wrote with full knowledge of those things; therefore, if we follow his message, the world will surely benefit from it.""","""Knowing those things, the writer of Genesis wrote words; therefore, if we follow his message, the world will surely benefit from him."""
Davidan halral thil hlan leh remna thil hlante chu a hlan zawh chuan sipaihote LALPA hmingin mipuite chu mal a sawm a.,"""After David had made the burned offerings and the peace-offerings, he gave the people a blessing in the name of the Lord of armies.""","""And when David had made an end of offering the burnt offering and the peace offerings, he blessed the people in the name of the Lord of armies."""
Kyoto pan tur a rel chu engtikah nge a lo thlen ang?,When will his train to Kyoto arrive.,When will the train to Kyoto arrive?
Nunpuia a dang deuh.,Nunpuia is a little pale.,Nunpuia is a little different.
Kapa-an awm turin min ti.,Kapa told me to stay.,Kapa asked me to stay.
Boston-ah engtia rei nge a awm dawn Thanga an a sawi?,How long did Thanga say he'd be in Boston?,How long did Thanga say he'd be in Boston?
Chhani chu kum thum a nihin Boston-a nupa tuak khatin fa atan an la a.,Chhani was adopted by a couple in Boston when she was three years old.,Chhani was adopted by a couple in Boston when she was three years old.
Chhuantea a thutak tih ka hria.,I know that Chhuantea is serious.,I know that Chhuantea is serious.
Old Trafford-ah erawh thawn-thu thlak danglamin a awm.,"""At Old Trafford, however, the story was different.""","""At Old Trafford, however, there is a storytelling style."""
Sangi chuan chutianga vawi tam tak a tih a la ngaih dawn tih Liana-an a hriat thu a sawi.,Sangi said Liana knew she might need to do that several more times.,Sangi said Liana knew she might still need to do that many times.
Chhungkhat te fate Alvin-an a awm.,Alvin babysat the children of family members.,Alvin was babysitting some of his family.
Amah kan dil chuan Thanga an min pui maithei.,Thanga might help us if we ask him politely.,Thanga might help us if we ask him to.
Maimawms hian boruak sanga khel á¹­ha á¹­hin R. Laldanmawia leh MS Dawngliana te an kawl.,"""Maimawms possesses R. Laldanmawia and MS Dawngliana, who usually play well in high-pressure situations.""",Maimawms has R. Laldanmawia and MS Dawngliana who usually play well in high-pressure situations.
India tan kum 33-upa Amit Mishra a che ropui.,33-year-old Amit Mishra performed brilliantly for India.,Amit Mishra performed magnificently for India in the 33rd century.
Mizoram atangin AWW 12-in he chawimawina hi an dawng tawh.,12 AWWs Anganwadi Workers from Mizoram have already received this honor.,12 AWWs have already received this award from Mizoram.
Biaka chuan a tha tih min hrilh.,Biaka told me that he's fine.,Biaka told me he was OK.
Mizoram khaw dang 7ah pawh hetiang hi siam an ruahman mek a.,They are planning to construct similar ones in 7 other towns in Mizoram.,"""In 7 other villages of Mizoram too, they are currently planning to make this."""
Fela nena kal turin ka duh che.,I want you to go with Fela.,I want you to go with Fela.
Kum thum kal ta chhung khan barber in Liana a thawk.,Liana has worked as a barber for the last three years.,Liana has been working as a barber for the last three years.
"""An thÃ¢wmah á¹­henawmte an tlan khawm a, Lalrinnunga chu an man.""","""Neighbors ran together at their noise, and they caught Lalrinnunga.""","""The neighbors ran together in their noise, and Lalrinnunga was arrested."""
Duhkima eitur chu shit ang maiin a thlum.,Duhkima's food tastes like shit.,Duhkima's food was sweet like shit.
Hruaia chu lirthei khalh laiin a muhil.,Hruaia fell asleep at the wheel.,Hruaia fell asleep while driving.
Mizoram district thenkhatah hian dan lova khaw din eng emaw zat a awm thin.,"""In some districts of Mizoram, there are a number of illegally established villages.""","""In some districts of Mizoram, there are many illegally established villages."""
Jamshedpur FC hian Mizo defender Ricky Lallawmawma leh Laldinliana Renthlei an lo lalut tawh.,Jamshedpur FC has already signed Mizo defenders Ricky Lallawmawma and Laldinliana Renthlei.,Jamshedpur FC has already signed Mizo defender Ricky Lallawmawma and Laldinliana Renthlei.
Natasha hi chhang urna SweetyCakes neitu a ni.,Natasha is the owner of the bakery SweetyCakes.,Natasha is the owner of the respondent SweetyCakes.
Minute 90-naah erawh Barca vanneih hun a inherchhuak.,"""In the 90th minute, however, Barca's luck turned.""","""However, in the 90th minute, Barca's lucky moment came true."""
Fadil-a a khat tawkin tah chuan a thawk á¹­hin.,Fadil occasionally worked there.,Fadil worked there as a maid.
Fela chuan a zalenna a chang ta a ni.,Fela gained his freedom.,Fela gained his freedom.
"""Khuma-an Rini-i a rui a ring lo, mahse a rui.""","""Khuma didn't think Rini would be drunk, but she was.""","""Khuma didn't think Rini was intoxicated, but she was."""
Tun season-ah Ligue 1 inum boruak a nung hle mai.,This season the Ligue 1 title race is very intense.,"""In this season, the atmosphere of Ligue 1 is very lively."""
Fela nen lam a kal ka duh lo.,I didn't want to go to the dance with Fela.,I don't want to go dancing with Fela.
Thal tak tak a lo thlen huna Aizawl mipuiin harsatna lian zawk an tawh lohna tura PHE department an inhmakhua.,The PHE department is preparing so that the people of Aizawl do not face bigger problems when the real dry season arrives.,"""When the dry season arrives, the people of Aizawl are preparing for the PHE department so that they will not face bigger difficulties."""
Zama chuan kal nghal se a tha zawk tih a hria.,Zama realized that it would be better if he left right away.,Zama should've left right away.
Silai kahna hliam aá¹­anga thisen chhuak in David a la mu.,"""David was still lying, bleeding from a gunshot wound.""",David was still sleeping bleeding from the gunshot wound.
China hian phuba lak a tum ta char char niin a lang.,It would appear that China has engaged in bullying.,It seems that China has been trying to take revEng nge.
Criminal case zahve aia tamah hian ram dang aá¹­anga Mizorama rawn raltlante an inrawlh.,"""In more than half of the criminal cases, refugees from other countries who came to Mizoram are involved.""",Refugees from other countries from Mizoram are involved in more than half of the criminal cases.
Madhav hian AGP pawh thawhho lehna tur chungchang sawia inbiakna neihpui a tum niin media thenkhat chuan an tarlang.,Some media reported that Madhav intends to hold talks with AGP regarding cooperation again.,Some media reported that Madhav intends to hold talks to discuss the future cooperation with AGP.
Engvanga tih a ngai nge a nih Tluanga-an min la hrilh lo.,Tluanga still hasn't told me why he had to do that.,Tluanga hasn't yet told me why he has to do that.
Khuma-an fanu pakhat leh tupa pathum a nei.,Khuma has one daughter and three grandchildren.,Khuma has one daughter and three grandsons.
Engvanga Tluanga ngaina lo nge i nih?,Why do you not like Tluanga?,Why don't you like Tluanga?
Tun dinhmunah India ram pumah PARIVAAR zawmtu pawl 200 chuang zet an awm.,"""Currently, there are over 200 organizations across India that have joined PARIVAAR.""","""Currently, there are over 200 organizations across India joining PARIVAAR."""
Lali in Boston a ngaina lovang tih Thara an a ring.,Thara thought that Lali wouldn't like Boston.,Thara thinks Lali won't like Boston.
Bena chuan thawm ri nasa tak a hre ta a.,Bena heard a loud crash.,Bena heard a loud noise.
"""Chelsea captain chuan sawi zelin, Tum sang tak nei.""","""The Chelsea captain continued, """"Have high ambitions.""""""","""The Chelsea captain continued, """"It has a high score."""""""
Ghaziabad aá¹­ang vek hian kum 2019 Parliamentary election chuh lehin vote 5.15 chuangin a chak.,"""Contesting the 2019 Parliamentary election again from Ghaziabad itself, he won by over 5.15 lakh votes.""","""From Ghaziabad itself, he contested the 2019 Parliamentary election again and won over 5.15 votes."""
Satoshi Nakamoto-an bitcoin leh blockchain a hmuchhuak.,Satoshi Nakamoto invented bitcoin and the blockchain.,Satoshi Nakamoto discovered a bitcoin and a blockchain.
"""Tih an hlau in i ring em, Nunpuia leh Rami te chuan?""",Do you think Nunpuia and Rami are afraid to do that?,Do you think Nunpuia and Rami are afraid to do that?
Liani chuan Liana a en reng.,Liani never took her eyes off Liana.,Liani is staring at Liana.
Vana leh Pari ten fapa pakhat chauh an nei.,Vana and Pari had only one son.,Vana and Pari have only one son.
Puia a lo kal ve dawn tih ka lo hre lo a.,I didn't know that Puia was going to be there.,I didn't know Puia would come as well.
OSMF phei hi tihdam theih a ni lo.,"""OSMF, in particular, cannot be cured.""",OSMF is not even curable.
"""Prof. DC Deka chuan, Mizoram leilung leh ramngawahte ramhmul damdawi tam tak hmuh theih a ni thu a sawi.""",Prof. DC Deka said that many medicinal plants can be found in the soil and forests of Mizoram.,Prof. DC Deka said that many medicinal plants can be found in Mizoram soil and forests.
Kawng a tlang hnuah Aizawl lam pana an rawn tlan chu Buichali atanga Sairang lam metre 300 velah kawng thlangah a tlanliam.,"""After the road was cleared, while driving towards Aizawl, it fell off the road about 300 meters from Buichali towards Sairang.""","""After the procession, they drove to Aizawl and drove about 300 meters from Buichali towards Sairang on the other side of the road."""
"""An hun hmanpuitu MPCC president Lal Thanzara chuan, sawrkar chu zu notÃª zuar dawn chiangah a puh.""","""MPCC president Lal Thanzara, who attended the event, accused the government of definitely planning to sell liquor by the peg.""","""MPCC president Lal Thanzara, who attended their event, accused the government of definitely selling liquor."""
Sangpuia chuan ka video te a en thin.,Sangpuia watches my videos.,Sangpuia watches my videos.
Class a sang ber chu Malsawma a ni.,Malsawma is the tallest one in the class.,Malsawma is the tallest student in the class.
Mual neitu Salgaocar-in point khat an hmu hram.,The home team Salgaocar barely managed to get one point.,"""Salgaocar, the owner of the field, managed to get one point."""
Fadil-an thil pawi tak a zir chhuak.,Fadil learnt a bitter lesson.,Fadil learned a terrible lesson.
Khami hnu atang khan Dina chu nasa takin a danglam.,Dina has changed a lot since then.,Dina has changed a lot since then.
"""Puia nena thawh ka ning a, ka bang.""","""I got tired of working with Puia, so I quit.""",I'm tired of working with Puia and giving up.
Kapa sikula i thlah chu i ti tha hle mai.,It was nice of you to drive Kapa to school.,You're doing Kapa's homework very well.
WCCB hotute hian Thawhlehni khan ramri enfiahin India leh Myanmar ramri depa awm Zokhawthar khua an tlawh a.,On Thursday WCCB officials inspected the border and visited Zokhawthar on the India-Myanmar border.,WCCB officials visited Zokhawthar village along the India-Myanmar border on Tuesday to inspect the border.
Zami ka tih el avangin Mawia a thinrim.,Mawia was angry because I had insulted Zami.,Mawia got mad at Zami for being sarcastic.
Tatoeba-ah Japanese á¹­awng thiam tam zawk hip luh dan a awm em le?,I wonder if there's some way of attracting more Japanese speakers to Tatoeba?,Is there a way to attract more Japanese speakers to Tatoeba?
Bengaluru striker hian hun pek belhah a 'class' a pholang.,The Bengaluru striker showed his 'class' in extra time.,The Bengaluru striker displayed his 'class' in injury time.
Nizan a amah kan tura ka kal khan Nunpuia chuan movie a lo en.,Nunpuia was watching a movie last night when I went to visit him.,Nunpuia was watching a movie when I went to see him last night.
Hruaia chu ni thum chhung hetah a awm ang.,Hruaia is going to be here for three days.,Hruaia will be here for three days.
Kar hmasa mai khan Napoli hian hun tawp dawna Koulibaly tauh luh hmangin Juventus an hneh.,"""Just last week, Napoli defeated Juventus with a header by Koulibaly in the dying moments.""","""Just last week, Napoli defeated Juventus using a header from Koulibaly near the end."""
MNF atanga hnawhchhuah a ni zui leh bawk.,He was subsequently expelled from the MNF as well.,He was subsequently expelled from MNF.
"""Hamrik hnuhnung rik hma chiahin Messi a inlar, box chhungah remchang tha bik a sual chhuak.""","""Just before the final whistle, Messi appeared and created a very good opportunity inside the box.""","""Just before the last whistle, Messi appeared, and a special opportunity was set out inside the box."""
Zuala chu Khualzahawm atan hman a ni.,Zuala was used as the Chief Guest.,Zuala was used as the Guest of Honour.
Liani chuan sikul a kal thu a sawi a.,Liani said she was at school.,Liani said she was at school.
"""Zodintluanga chuan, Sorkar-in thalaite hmasawnna turin nasa takin hma a la.""","""Zodintluanga said, The government has taken significant steps for the development of the youth.""","""Zodintluanga said, The government has taken significant steps for the development of the youth."""
Faka contract chu kum thum chhung a ni.,Faka's contract is for three years.,Faka's contract lasted three years.
Tichuan BDS Gauhati chu a thlang ta zawk a ni.,"""And so, he chose BDS Gauhati instead.""","""Thus, he chose BDS Gauhati instead."""
"""Dan dang deuhvin sawifiah la chuan, Malsawma-an a hrethiam maithei che.""","""Maybe if you explained it in a different way, Malsawma would understand you.""","""If you'd explained it to Malsawma in a different way, he might understand you."""
Khawvel huap pawha zaithiam lar zingah Hollywood leh Bollywood thlenga hnuhma nei á¹­ha tak tak an awm.,"""Among the world-famous singers, there are those who have made significant marks even in Hollywood and Bollywood.""","""Among world-famous singers, there are many who have good marks up to Hollywood and Bollywood."""
A pa ang in Thanga pawh ukil a ni.,Thanga is a lawyer like his father used to be.,Thanga is also a lawyer like his father.
Chumi hnuah nikum khan sorkarin NLUP dawta hmalakna thar NEDP a kalpui leh ta a.,"""After that, last year the government started implementing NEDP, a new initiative following NLUP.""","""After that, last year, the government launched NEDP a new initiative after NLUP."""
An duhna hmuna khawsa turin CTI aá¹­angin chhuahtir leh tawh an ni.,They have been released from the CTI to live where they want.,They have been released from CTI again to live wherever they want.
Mizoramah hian chawhrualin nitin TB vei thar 6-7 zel hmuchhuak ang kan ni.,"""In Mizoram, we are discovering on average 6-7 new TB cases daily.""","""In Mizoram, we will be able to produce 6-7 new TB patients daily on average."""
Ida-i hnathawh leh Pathian tana a inpekna hi a ropui em avangin kum 1952 chhunga khawvela hmeichhe zingah pawh a tel nghe nghe a ni.,"""Because Ida's work and dedication to God were so great, she was even included among the [notable] women of the world in 1952.""","""Because Ida's work and dedication to God were so great, he was also among the women in the world during 1952."""
Eng nge ti tura i duh tih Malsawma leh Ziri ten an hrethiam lo.,Malsawma and Ziri don't understand what you want them to do.,Malsawma and Ziri don't understand what you want them to do.
Sangi chu a tih dan a hria em tih zawt rawh.,Ask Sangi if she knows how to do that.,Ask Sangi if she knows how to do that.
He Centre hawn thar tak chuan rampumah Mizoram chu hming thatna leh mithiamte hriat a hlawh tir ngei a beisei thu a sawi bawk.,He also expressed hope that this newly inaugurated Centre would bring good name to Mizoram and recognition from experts across the country.,He also expressed hope that this newly opened Centre would bring good name and recognition to Mizoram across the state.
Rina leh Siami chuan an hna an ngaihthah.,Rina and Siami neglected their duties.,Rina and Siami neglected their jobs.
Muani hi ka farnu a ni.,Muani is my sisterinlaw.,Muani is my sister.
Kumin May 25 khan GSAT-11 hi kahchhuah tura ruahman a ni.,GSAT-11 was scheduled to be launched on May 25 this year.,It is planned to launch GSAT-11 on May 25 this year.
Mahse inelna lian Grand Slam huangah a la hlawhtling miah lo.,But he has not succeeded at all in the major Grand Slam arena.,"""But in the big Grand Slam category, he has not been successful at all."""
Sanga chu puan var ang maiin a dang.,Sanga is as white as a sheet.,Sanga pretended to be a white dress.
UGC thupek angin MZU hian Digital India Week an hmang.,"""According to the UGC order, MZU is observing Digital India Week.""","""As per UGC's order, MZU observed Digital India Week."""
Kan á¹­henawm Meghalaya ah pawh Congress MP an thlang tling.,"""Even in our neighbor Meghalaya, they elected a Congress MP.""","""Even in our neighboring Meghalaya, they elected the Congress MP."""
Liverpool-in 5-1 in Sparta Prague an sawp thung.,"""Liverpool, on the other hand, thrashed Sparta Prague 5-1.""","""Liverpool, on the other hand, thrashed Sparta Prague 5-1."""
Zuala chuan a hriat hmel loh.,Zuala didn't seem to notice it.,Zuala didn't seem to be aware.
Faka chuan Mary-i phun nawi a hre á¹­hang.,Faka is used to hearing Mary complain.,Faka began to notice Mary's complaining.
"""Hetiang laka himna atan hian Mizoramah pawh BJP an thurualpui theih turte hnawl a ngai, a ti.""","""To be safe from this, he said that in Mizoram too, those who might ally with the BJP must be rejected.""","""He said that for safety against this, it is necessary to reject potential BJP partners in Mizoram as well, he said."""
A bulah Pattinson-a 'Batman' niawm tak a ding bawk.,Standing next to him was what looked like Pattinson's 'Batman'.,"""A beautiful 'Batman' in Pattinson is also standing next to him."""
India hi remna leh muanna zawng á¹­hin ram a ni a.,India is a nation of adoration and peace.,India is a country that seeks peace and tranquility.
India hian kum 2002 leh 2018 khan AFC U16 inelnaah hian quarterfinal an lo lut tawh.,India already entered the quarterfinals in this AFC U16 competition in 2002 and 2018.,India entered the quarterfinals in the AFC U16 competition in 2002 and 2018.
Rina thusawi chu a thupui bakah a ni.,What Rina said was besides the point.,What Rina said was in addition to his own.
Boston-ah ka kalpui loh ang che.,I've decided not to go to Boston with you.,I won't go to Boston with you.
Vana leh Pari chuan zirna lam hawi thil tum an in siam sak fo.,Vana and Pari often set learning goals together.,Vana and Pari often set goals for themselves in the fields of education.
Zuala chuan engmah a la lo.,Zuala didn't take anything.,Zuala hasn't taken anything.
Muana chuan Thari-in nipui chawlh laia a tih hriat a duh.,Muana wanted to know what Thari did during her summer vacation.,Muana wanted to know what Thari did during her summer vacation.
Lali chuan tih a chak reng thin tih a sawi.,Lali says she's always wanted to do that.,Lali says she's always wanted to do that.
Biaka chuan chhang a ei.,Biaka is eating bread.,Biaka ate bread.
Vana Pari nen an in nel.,Vana became friendly with Pari.,Vana is close to Pari.
Muana chuan Thari vawi tam tak a vit.,Muana stabbed Thari multiple times.,Muana stabbed Thari several times.
Inkhel dangah Govt Aizawl College-in Hrangbana College 3-2 in an hneh bawk.,"""In another match, Govt. Aizawl College also defeated Hrangbana College 3-2.""","""In another match, Govt Aizawl College also defeated Hrangbana College 3-2."""
Hasina chu prime minister a nihna atanga bang tura nawrna a nasa hle bawk.,The pressure for Hasina to resign from being prime minister is also very strong.,Hasina was also severely pressured to resign from being a prime minister.
Khuma-an Rini-i eng nge ti se a duh a hria a ti.,Khuma said he knew what Rini thought she should do.,Khuma said he knew what Rini wanted him to do.
Chutiang tak chu alawm Zorama Nipui boruak nawm bikna chu.,That is exactly the unique pleasure of the Summer atmosphere in Zoram.,That is exactly how pleasant the summer climate in Zoram is.
Biaka chuan French á¹­awng a rawt.,Biaka suggested we speak French.,Biaka suggested that we speak French.
June 8-a Saudi Arabia an khelh hunah insiamtthat ngei an tum ang.,They will definitely aim to bounce back when they play Saudi Arabia on June 8.,They will definitely try to improve when they play Saudi Arabia on June 8.
Hnuhma an neih tawhah Mizo tlangval a chungnung zawk.,"""In the records they have, the Mizo young man is superior.""","""In their recent achievements, the Mizo lad is superior."""
Zama chuan Mawii hnenah pie hnuhnung ber ei lo turin a hrilh.,Zama asked Mawii not to eat the last piece of pie.,Zama told Mawii not to eat the last pie.
Nimina lungawi lohna lantirnaah hian Congress hruaitu Rahul Gandhi pawh a tel.,Congress leader Rahul Gandhi also participated in the protest yesterday.,Congress leader Rahul Gandhi also participated in yesterday's protest.
Toofani hi Tejpur leh Kumbirgram Silchar bul lawka hmunpui nei an ni a.,Toofani has bases near Tejpur and Kumbirgram Silchar.,Toofani has a headquarters just near Tejpur and Kumbirgram Silchar.
"""Pawi ka ti, I.D. tel lovin pawisa i la thei lo.""","""I'm sorry, without an I.D. you cannot receive a remittance.""","""I'm sorry, you can't take the money without I.D.."""
Engvangin nge ka tih a ngaih Malsawma an min hrilh.,Malsawma told me why I had to do this.,Malsawma told me why I needed to do that.
Kartawp khan FC Heidenheim laka 2-0 a hma an hruai hnuaih 3-2 in an inlehthaltir.,"""Last weekend, they let a 2-0 lead slip to lose 3-2 against FC Heidenheim.""","""Last weekend, they re-elected 3-2 under the lead 2-0 against FC Heidenheim."""
Gas awm siin Mizo mipui kan á¹­Ã¡m a ni.,"""There is gas, but the Mizo people are starving.""","""While there is gas, we Mizo people support it."""
Tiberio chuan tuipui kamah chuan a vak kual a.,Tiberio took a stroll on the beach.,Tiberio roamed the coast.
Dinga-an chu chu a thlen tur avangin Mary a lawm a rin thu a sawi.,Dinga told me he thought Mary was glad that that was going to happen.,Dinga said that he thought that Mary would be glad that that would happen.
Australia chungchang ka sawi lo.,I didn't talk about Australia.,I didn't talk about Australia.
"""Judtih Lalramengmawii leh L Lalnuntluangi, Lawngtlai District ten zaiin mipui an awi.""",Judtih Lalramengmawii and L. Lalnuntluangi from Lawngtlai District entertained the public with their singing.,"""Judtih Lalramengmawii and L Lalnuntluangi, Lawngtlai District, entertained the crowd with songs."""
"""Khawi sikul ah nge an kal min hrilh ngai lo, Liana leh Puii te chuan.""",Liana and Puii never told me where they went to school.,Liana and Puii never told me where they went to school.
"""Brazil forward raphinha, 25, chungchangah Leeds dawr tan a tum.""","""He intends to start negotiations with Leeds regarding Brazil forward Raphinha, 25.""","""He intends to start negotiations with Leeds regarding the Brazil forward Raphinha, 25."""
YMA meuhvin lungawi lohna thil an huaihawt atanga laklawh takah an thurualpuite an inhnuhdawhsan thut mai a.,"""Just when YMA had launched a protest, their allies suddenly withdrew from it midway.""","""Especially in matters of dissatisfaction organized by the YMA, their allies suddenly withdrew."""
Zira chu mi chak tak a ni.,Zira is a very strong man.,Zira is a strong man.
Vietnam chuan ram pahnih inlaichinna chu 'rinawmna leh lawmna' tiin a sawi hial a.,Vietnam even described the relationship between the two countries as 'loyalty and gratitude'.,Vietnam even described the relationship between the two countries as 'favorites and joys'.
Nunpuia a a tan.,Nunpuia is starting to lose it.,Nunpuia started to cry.
Lali chuan Thara hnenah tih a ngai tih hrilh a theihnghilh thu a sawi.,Lali says she forgot to remind Thara that he needed to do that.,Lali said she forgot to tell Thara she needed to do that.
"""Mahse, chawlhlawk hman a nih hmain Manuel Lanzarote chuan penalty atangin hmahruaina goal a khung nawn.""","""But before the break, Manuel Lanzarote scored the leading goal again from a penalty.""","""But before the break, Manuel Lanzarote scored the opening goal from a penalty."""
He inkhel hi 'Kamo tak tak' kan hriat á¹­anna a ni.,This match is where we started to know the 'real Kamo'.,This match is our beginning to know 'real Kamo'.
United tlakchhiat lai berin Liverpool á¹­hat vanglai an chelh thei.,"""At United's worst, they could hold Liverpool at their best.""","""When United lost the most, they were able to hold Liverpool in good form."""
Engtin nge Bible hi ziah a nih?,How was the Bible written.,How is the Bible written?
Puia ngaihdam a nih ka ring lo.,I doubt very seriously that Puia will be prepared.,I didn't think Puia would be forgiven.
Heng atana senso tulte hi SEDP aá¹­angin phuhruk zel a ni.,Necessary expenses for these are reimbursed from SEDP.,The necessary expenses for these are being inherited from SEDP.
Dollar sangkhat chuang hret Malsawma chuan Ziri a ba.,Malsawma owes Ziri slightly over a thousand dollars.,Malsawma owes Ziri a little over a thousand dollars.
Stephen chuan mak a ti hle.,Stephen was so surprised.,Stephen was surprised.
Faka hmin tumna ah min puih a ngai.,You have to help me reason with Faka.,Faka needs to help us with our issues.
Kut zungchal in - Japanese hrethiam tu kawk rawh se.,Let the moving finger stop on - someone who understands Japanese.,Kut zungchal - Let's talk to someone who understands Japanese.
Tottenham Hotspur manager Ange Postecoglou chuan England nena sawizawm a nih chungchang chu a hriat loh thu a sawi.,Tottenham Hotspur manager Ange Postecoglou said he was unaware of being linked with the England job.,Tottenham Hotspur manager Ange Postecoglou said that he did not know about his relationship with England.
Zama chuan Rami a hlim hle tih a sawi.,Zama said Rami is very happy.,Zama said that Rami was very happy.
Khuma-an Rini-i Boston-ah a kal dawn tih a hrilh tur a ni lo.,Khuma shouldn't tell Rini that he's going to Boston.,Khuma shouldn't tell Rini he's going to Boston.
Alicia leh David te chu 2004 khan an iná¹­hen.,Alicia and David divorced in 2004.,Alicia and David broke up in 2004.
"""A hnua Philistia hovin Israel an beih khan, Saula chuan a hming maiin Jehova kaihhruaina a zawng a.""","""Later, when the Philistines were warring against Israel, Saul went through the formality of inquiring of Jehovah.""","""When the Philistines came to attack Israel, Saul sought Jehovah's guidance in his name."""
Inkhelh banah pawh Bavarians ai mahin an lawm zawk.,"""Even after the match, they were happier than the Bavarians.""","""Even after the match, they were happier than the Bavarians."""
Congress leh NCP chu an thawkdun dawn tih a chiang tawh.,It is already clear that Congress and NCP will work together.,It is clear that Congress and NCP will work together.
Pawisa thir chu Nunpuia-an a chhar.,Nunpuia picked up the coin.,Nunpuia picked up the coin.
AMC inthlanah pawh an tlin chuan MNF hian Aizawl bial hi an hui deuh duak ang.,"""If they win the AMC election, the MNF will likely sweep the Aizawl constituency.""","""Even if they win in the AMC election, the MNF will somewhat sweep Aizawl constituency."""
Swansea hian kum 39 mi Modric sum thehchhuah zat chiah an tarlang lo.,Swansea did not disclose the exact amount they spent for the 39-year-old Modric.,Swansea did not release only the amount of Modric's earnings for the 39-year-old.
Biaka chuan chak reng a har tih a hria.,Biaka is aware it's not always easy to win.,Biaka knows it's difficult to keep winning.
Muana chuan pakhatmah a la ti lo a ti.,Muana said he hasn't yet done any of that.,Muana says he hasn't done anything yet.
Zuala chuan a tha a ti.,Zuala says he's OK.,Zuala thinks it's a good idea.
Lawngtlai District chhungah hian tun dinhmunah Housing Loan dilna 432 zet a awm mek.,"""Currently, there are as many as 432 Housing Loan applications in Lawngtlai District.""","""Currently, there are as many as 432 housing loan applications within Lawngtlai District."""
Khuma-an in ruak a thlao vak lai a hmuh thu a sawi.,Khuma says that he saw a ghost walking around the abandoned house.,Khuma said that he saw the empty house sinking.
French i zirtir thei em?,Can you teach French?,Can you teach French?
Phal se chuan Mawia leh Zami te chu ka kuah tur a nia.,I would've hugged Mawia and Zami if I'd thought they'd let me.,I should've hugged Mawia and Zami if I'd let them.
Kapa pawn a man a to lutuk a ti.,Even Kapa thinks that the price is too high.,Kapa says he's too expensive to pay.
Zama chuan kha harsatna kha a chinfel theih loh hmel.,It looks like Zama can't solve that problem.,Zama didn't seem to be able to solve that problem.
Zira chu conservative a ni.,Zira is a conservative.,Zira is conservative.
Chutah chuan Hmingliana hi an member pawimawh tak a ni.,Hmingliana is a very important member of theirs in that.,Hmingliana is an important member there.
India ramah hian Mizote hi kan tel ve a ni tih hre reng.,Remember that we Mizos are also included in India.,Remember that we Mizos are also part of India.
Zira chu Rami ang em emin a hlawhtlin hmel loh.,Zira doesn't seem to be as successful as Rami.,Zira doesn't seem to be as successful as Rami seems to be.
Fadil hi Alicia ngaihsak tu mipa hmasa ber a ni.,Fadil was the first man to ever pay attention to Alicia.,Fadil was Alicia's first boyfriend.
Sanga chuan a á¹­awng hmain kawngkhar inkhar phawt a nghak.,Sanga waited till the door was closed before he started talking.,Sanga waited at the front door until he spoke.
Muana chuan party hat a khum.,Muana is wearing a party hat.,Muana is wearing a party hat.
Chhani chuan badam a ei thei lo tih Thara a hrilh.,Chhani told Thara that she couldn't eat peanuts.,Chhani told Thara she couldn't eat peanuts.
Hruaia chu ramhuai a ni.,Hruaia was a monster.,Hruaia is a monster.
"""Bangladesh khawpuia thawmhnaw zawrhna hmun hriat hlawh tak, dawr pawh 3,000 zet awmnaah kangmei nasa tak a chhuak.""","""A massive fire broke out in a well-known clothing market in the Bangladesh capital, which has as many as 3,000 shops.""","""A large fire broke out in a well-known clothing market in Bangladesh city, with as many as 3,000 shops."""
Peka hnenah Boston tlawh turin ka hrilh.,I told Peka to visit Boston.,I told Peka to visit Boston.
Rami nen an leng dun fo.,Tom often goes for walks with Rami.,Tom often walks with Rami.
David a hawi kual.,David was looking around.,David turned around.
Hun dang ang chu nise ZPM tling ngei tura ngaih a ni a.,"""If it were other times, ZPM would be expected to win for sure.""","""If it were the other time, it is expected that ZPM would definitely qualify."""
Puia pa i ni ngei ang.,Surely you are Puia's father.,You must be Puia's father.
PTS Thenzawl ah hri kai mi 4 hmuh ni bawkin hri kaina hriatloh pakhat a tel.,"""4 infected people were found at PTS Thenzawl, including one whose source of infection is unknown.""","""In PTS Thenzawl, 4 infected people were found, and one unknown source of infection was included."""
Sanga hnenah ti lo tura hrilh tu chu keimah ka ni.,I'm the one who told Sanga he shouldn't do it.,I'm the one who told Sanga not to do that.
Chhani chuan a inbengdaihna a hloh.,Chhani lost her cool.,Chhani lost her confidence.
